index;uKL30V;EPB_L;EPB_R;AIN2_MON_VAC_SUP;AIN3;AIN4;AIN5;
;104;106;107;338;339;340;341;
0;15.986001;0.411249;0.369019;2.426660;0.000000;0.000000;2.423437;
1;15.986001;0.321010;0.331213;2.439551;0.000000;0.000000;2.394433;
2;15.986001;0.397001;0.309947;0.019336;2.426660;2.410547;0.000000;
3;15.986001;0.321010;0.326487;0.000000;2.423437;2.423437;0.009668;
4;15.986001;0.332884;0.272141;2.429883;0.003223;0.000000;2.433105;
5;15.986001;0.385127;0.317036;2.445996;0.000000;0.000000;2.404101;
6;15.986001;0.404125;0.302858;0.022559;2.410547;2.423437;0.012891;
7;15.986001;0.359005;0.352479;0.012891;2.391211;2.429883;0.019336;
8;15.984001;0.408874;0.307584;2.429883;0.000000;0.000000;2.410547;
9;15.986001;0.318635;0.241424;2.436328;0.006445;0.000000;2.404101;
10;15.986001;0.359005;0.295770;0.000000;2.423437;2.423437;0.009668;
11;15.986001;0.439745;0.361930;0.003223;2.400879;2.423437;0.022559;
12;15.986001;0.375628;0.371382;2.436328;0.009668;0.000000;2.413769;
13;15.986001;0.380378;0.354842;2.452441;0.012891;0.000000;2.410547;
14;15.984001;0.233146;0.317036;0.006445;2.400879;2.423437;0.022559;
15;15.984001;0.430247;0.255601;0.009668;2.394433;2.413769;0.012891;
16;15.986001;0.411249;0.340664;2.445996;0.016113;0.000000;2.407324;
17;15.984001;0.491989;0.281593;2.426660;0.000000;0.009668;2.416992;
18;15.986001;0.323385;0.395011;0.000000;2.391211;2.410547;0.009668;
19;15.986001;0.349507;0.307584;0.016113;2.407324;2.407324;0.003223;
20;15.986001;0.406500;0.250875;0.035449;0.019336;0.025781;2.433105;
21;15.986001;0.309137;0.350116;0.045117;0.019336;0.016113;2.413769;
22;15.986001;0.420748;0.298133;2.442773;2.429883;2.420215;0.000000;
23;15.986001;0.306762;0.241424;0.051562;0.029004;0.025781;2.407324;
24;15.986001;0.351881;0.366656;0.029004;0.035449;0.032227;2.416992;
25;15.986001;0.394626;0.257964;0.025781;0.012891;0.022559;2.426660;
26;15.986001;0.337633;0.305221;2.429883;2.423437;2.407324;0.000000;
27;15.986001;0.370879;0.250875;0.061230;0.029004;0.019336;2.410547;
28;15.986001;0.434996;0.354842;0.045117;0.025781;0.025781;2.400879;
29;15.984001;0.306762;0.269778;0.035449;0.003223;0.032227;2.420215;
30;15.984001;0.378003;0.387922;2.568457;2.562011;2.555566;0.112793;
31;14.570001;0.415998;31.681886;0.148242;0.128906;0.122461;2.510449;
32;15.278001;0.342382;15.947477;0.090234;0.080566;0.067676;2.452441;
33;15.522001;0.392251;10.387624;0.067676;0.051562;0.067676;2.436328;
34;15.694001;0.382753;6.923644;2.574902;2.558789;2.581347;0.128906;
35;14.724001;26.761006;1.604805;0.125684;0.109570;0.116016;2.510449;
36;14.966001;20.620012;3.599074;0.132129;0.106348;0.099902;2.491113;
37;15.418001;13.153931;2.989451;0.093457;0.077344;0.064453;2.449219;
38;15.542001;6.257779;3.249368;2.462109;2.462109;2.455664;0.012891;
39;15.530001;7.661232;3.135950;0.070898;0.058008;0.061230;2.458887;
40;15.718001;5.191536;1.531555;0.083789;0.067676;0.074121;2.452441;
41;15.824001;2.303891;2.287676;0.080566;0.051562;0.048340;2.429883;
42;15.790001;2.643474;3.022532;2.462109;2.475000;2.452441;0.000000;
43;15.730001;1.491741;4.175616;0.048340;0.035449;0.038672;2.433105;
